sequence,scheduled_at_kst,slug,title,category,source_recheck,image_count,telegram_after_public,status
1,2026-08-27 07:40,voice-phishing-account-freeze,"보이스피싱 송금했다면, 계좌 지급정지부터 해야 합니다",디지털 복구·보안,required,1,yes,awaiting_final_approval
2,2026-08-27 12:20,health-screening-fasting,"건강검진 전 금식, 물과 커피도 마시면 안 될까?",건강검진 준비,required,1,yes,awaiting_final_approval
3,2026-08-27 20:10,dormant-deposit-check,"휴면예금 조회, 문자 링크 말고 여기서 확인하세요",퇴직·연금·생활비,required,1,yes,awaiting_final_approval
4,2026-08-28 07:40,naverpay-refund-period,"네이버페이 환불 기간, 취소 완료인데 돈이 안 보인다면",디지털 복구·보안,required,1,yes,awaiting_final_approval
5,2026-08-28 12:20,early-old-age-pension-income,"2026 조기노령연금 소득기준, 월급 319만 원만 보면 안 됩니다",퇴직·연금·생활비,required,2,yes,awaiting_final_approval
6,2026-08-28 20:10,telecom-refund-check,"통신 미환급액 조회, 휴대폰 바꿨다면 한 번 확인하세요",디지털 복구·보안,required,1,yes,awaiting_final_approval
7,2026-08-29 07:40,pension-savings-irp-tax-credit,"연금저축·IRP 세액공제, 900만 원을 어떻게 나눌까?",퇴직·연금·생활비,required,1,yes,awaiting_final_approval
8,2026-08-29 20:10,srt-refund-fee,"SRT 취소 수수료, 주말 표는 출발 전에도 달라집니다",중년 여행 준비,required,2,yes,awaiting_final_approval
9,2026-08-30 07:40,passport-renewal,"여권 재발급 준비물, 온라인 신청 전에 확인할 것",중년 여행 준비,required,2,yes,awaiting_final_approval
10,2026-08-30 20:10,travel-insurance-comparison,"여행자보험 비교, 휴대품손해보다 먼저 볼 항목",중년 여행 준비,required,2,yes,awaiting_final_approval
