priority,proposed_publish_at,title,draft,status,blocking_item,revenue_role
1,2026-08-24 07:30,"유튜브 조회수, 8월 24일부터 이렇게 달라집니다",blog/2026-08-23-youtube-view-count.md,재확인대기,"자체 제작 설명 이미지 2장 완료·당일 공식공지 재확인",애드포스트 유입
2,2026-08-24 09:00,"2026 추석 기차표 예매, 날짜보다 먼저 확인할 것이 있습니다",blog/2026-08-23-chuseok-train-ticket-publish.md,승인대기,"네이버 편집기 최종 미리보기와 사용자 발행 승인",애드포스트 유입
3,2026-08-24 10:30,"스마트폰 버리고 플립폰으로? 사기 전에 먼저 확인할 6가지",blog/2026-08-23-flip-phone-return.md,승인대기,"네이버 편집기 최종 미리보기와 사용자 발행 승인",애드포스트 유입·제휴후속
4,2026-08-24 12:00,"어벤져스 둠스데이, 5월이 아니다…현재 확정된 개봉일과 출연진",blog/2026-08-23-avengers-doomsday.md,승인대기,"네이버 편집기 최종 미리보기와 사용자 발행 승인",애드포스트 유입
5,2026-08-24 13:30,"에어컨, 바로 덮으면 안 됩니다…사용 끝난 뒤 보관 순서",blog/2026-08-23-aircon-end-of-season.md,승인대기,"네이버 편집기 최종 미리보기와 사용자 발행 승인",애드포스트 유입·생활용품후속
6,2026-08-24 15:00,"가을 단풍 숙소, 지금 잡아도 날짜가 틀릴 수 있습니다",blog/2026-08-23-autumn-foliage-lodging.md,승인대기,"네이버 편집기 최종 미리보기와 사용자 발행 승인",애드포스트 유입·여행제휴후속
7,2026-08-24 16:30,"웨딩박람회 당일 계약, ‘오늘만 할인’보다 먼저 볼 5가지",blog/2026-08-23-wedding-fair-contract-publish.md,승인대기,"네이버 편집기 최종 미리보기와 사용자 발행 승인",애드포스트 유입·자체 체크리스트 후속
8,2026-08-24 18:00,"2026 추석 선물세트, 최대 할인보다 먼저 볼 것",blog/2026-08-23-chuseok-gift-guide.md,승인대기,"자체 제작 설명 이미지 완료·네이버 편집기 최종 미리보기",애드포스트 유입·제휴후속
9,2026-08-24 20:00,"‘봄날의 햇살’ 하윤경 맞아? 내장탕 혼밥에서 드러난 진짜 반전",blog/2026-08-23-hayoonkyung-naejangtang-publish.md,승인대기,"네이버 편집기 최종 미리보기와 사용자 발행 승인",애드포스트 유입·생활제휴후속
10,2026-08-24 22:00,"2026 홍성 남당항 대하축제, 1kg 가격부터 공연 날짜까지 미리 보세요",blog/2026-08-23-hongseong-prawn-festival-publish.md,재확인대기,"발행 직전 주차·셔틀·가격 공식 공지 재확인",애드포스트 유입·여행제휴후속
11,,"BIGBANG 고양 콘서트 마지막 날",blog/2026-08-23-bigbang-goyang-final-day.md,보류,"행사 종료 후 정보 가치가 낮아 예약 제외; 사후 화제형으로 재기획 필요",보류
