date,published_posts,total_views,search_views,homefeed_views,other_views,adpost_revenue_krw,affiliate_clicks,affiliate_orders,affiliate_cancellations,affiliate_confirmed_revenue_krw,own_product_inquiries,own_product_orders,own_product_refunds,own_product_confirmed_revenue_krw,total_confirmed_revenue_krw,cumulative_revenue_krw,target_cumulative_krw,gap_krw,top_post,next_action,evidence_note
2026-09-01,,,,,,,,,,,,,,,,,16667,,,,
2026-09-02,,,,,,,,,,,,,,,,,33334,,,,
2026-09-03,,,,,,,,,,,,,,,,,50001,,,,
2026-09-04,,,,,,,,,,,,,,,,,66668,,,,
2026-09-05,,,,,,,,,,,,,,,,,83335,,,,
2026-09-06,,,,,,,,,,,,,,,,,100002,,,,
2026-09-07,,,,,,,,,,,,,,,,,116667,,,,
2026-09-08,,,,,,,,,,,,,,,,,133334,,,,
2026-09-09,,,,,,,,,,,,,,,,,150001,,,,
2026-09-10,,,,,,,,,,,,,,,,,166668,,,,
2026-09-11,,,,,,,,,,,,,,,,,183335,,,,
2026-09-12,,,,,,,,,,,,,,,,,200002,,,,
2026-09-13,,,,,,,,,,,,,,,,,216669,,,,
2026-09-14,,,,,,,,,,,,,,,,,233333,,,,
2026-09-15,,,,,,,,,,,,,,,,,250000,,,,
2026-09-16,,,,,,,,,,,,,,,,,266667,,,,
2026-09-17,,,,,,,,,,,,,,,,,283334,,,,
2026-09-18,,,,,,,,,,,,,,,,,300001,,,,
2026-09-19,,,,,,,,,,,,,,,,,316668,,,,
2026-09-20,,,,,,,,,,,,,,,,,333335,,,,
2026-09-21,,,,,,,,,,,,,,,,,350000,,,,
2026-09-22,,,,,,,,,,,,,,,,,366667,,,,
2026-09-23,,,,,,,,,,,,,,,,,383334,,,,
2026-09-24,,,,,,,,,,,,,,,,,400001,,,,
2026-09-25,,,,,,,,,,,,,,,,,416668,,,,
2026-09-26,,,,,,,,,,,,,,,,,433335,,,,
2026-09-27,,,,,,,,,,,,,,,,,450002,,,,
2026-09-28,,,,,,,,,,,,,,,,,466669,,,,
2026-09-29,,,,,,,,,,,,,,,,,483336,,,,
2026-09-30,,,,,,,,,,,,,,,,,500000,,,,
